model,record_type,term,value,condition_number,bp_pvalue,n_cooks_over_4n,max_cooks_distance,max_leverage,max_abs_studentized_residual
Model A,vif,C(school)[T.MS],1.509048992063203,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(sex)[T.M],1.4589468662973082,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(address)[T.U],1.382828834839199,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(famsize)[T.LE3],1.1455750537439808,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Pstatus)[T.T],1.140998700892819,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Mjob)[T.health],2.3022800581000054,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Mjob)[T.other],2.732592521491718,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Mjob)[T.services],2.872066881901814,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Mjob)[T.teacher],3.1606127700697564,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Fjob)[T.health],2.1050002327535213,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Fjob)[T.other],6.064703574108931,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Fjob)[T.services],5.283391756043996,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(Fjob)[T.teacher],2.6766666650817177,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(reason)[T.home],1.4343260604884422,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(reason)[T.other],1.2959622304869225,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(reason)[T.reputation],1.518549206552329,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(guardian)[T.mother],1.4873412986150167,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(guardian)[T.other],1.7407421581532663,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(schoolsup)[T.yes],1.1706638836397607,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(famsup)[T.yes],1.2727983392961313,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(paid)[T.yes],1.326279304786679,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(activities)[T.yes],1.1581076482800357,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(nursery)[T.yes],1.1513199968156533,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(higher)[T.yes],1.3070103421729544,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
Model A,vif,C(internet)[T.yes],1.2503862383055668,442.54406093881124,0.1652052681017793,31,0.03111986990172415,0.34049916577766703,3.396401620443167
