result_type,model,fold,n,rmse,mae,r2
fold,Baseline,1.0,79,4.344383510009002,3.304157987502003,-0.024194512555648195
fold,Baseline,2.0,79,4.521078833807587,3.5303637237622185,-0.0006353638830933761
fold,Baseline,3.0,79,4.260471608917933,3.159029001762538,-0.006237675649748198
fold,Baseline,4.0,79,4.731190462769472,3.4405143406505365,-0.024025175558195055
fold,Baseline,5.0,79,5.028217126692258,3.740586444480051,-0.00612765414780303
fold,Model A,1.0,79,4.153386172668245,3.2653279063674407,0.06388165327277417
fold,Model A,2.0,79,4.60285944945676,3.6538086373483725,-0.037163238399358534
fold,Model A,3.0,79,3.950721084436211,2.9537158907326875,0.1347572611960871
fold,Model A,4.0,79,4.544698985881195,3.449781411935067,0.05511268818933612
fold,Model A,5.0,79,4.572273704980527,3.70122369614763,0.16806483755433943
fold,Model B,1.0,79,1.2534827108240483,1.0002631133351183,0.9147365644612939
fold,Model B,2.0,79,2.520978815487527,1.5806509952845589,0.6888784598452978
fold,Model B,3.0,79,1.4071131051988763,1.0613219353004233,0.8902402172458941
fold,Model B,4.0,79,2.5280890220945436,1.685286020380302,0.7076153989768095
fold,Model B,5.0,79,2.009917014716828,1.4393472886578123,0.8392387799518788
aggregate_oof,Baseline,,395,4.585467716647868,3.434930299631469,-0.004300439231571307
aggregate_oof,Model A,,395,4.372758959817015,3.40477150850624,0.08671263603658896
aggregate_oof,Model B,,395,2.016805439053419,1.353373870591643,0.8057216617795167
