model,term,coefficient,hc3_se,ci_low,ci_high,p_raw
Model B,Intercept,-1.1154880360083057,2.180869054872223,-5.404618491256281,3.1736424192396697,0.609329281250805
Model B,C(school)[T.MS],0.4807416714030476,0.3855896960257494,-0.27760028624866917,1.2390836290547642,0.21330847610475528
Model B,C(sex)[T.M],0.17439580180073985,0.2338547571476318,-0.2855279880965377,0.6343195916980174,0.45631831141874013
Model B,C(address)[T.U],0.10445494024903326,0.23535695099711032,-0.35842322482042177,0.5673331053184882,0.6574482755949105
Model B,C(famsize)[T.LE3],0.03651219311998495,0.23692482463327064,-0.4294495200184437,0.5024739062584136,0.8776120408801713
Model B,C(Pstatus)[T.T],-0.12767306372044096,0.34705788418879974,-0.8102342369749815,0.5548881095340996,0.7131887586807059
Model B,C(Mjob)[T.health],-0.14642575024657356,0.5940356184414951,-1.3147197644457724,1.0218682639526253,0.8054437305181659
Model B,C(Mjob)[T.other],0.0740882029144942,0.4043339766413497,-0.7211182627967383,0.8692946686257266,0.8547187017622072
Model B,C(Mjob)[T.services],0.04695624951067123,0.47477634354075876,-0.8867897128902006,0.980702211911543,0.9212723535112176
Model B,C(Mjob)[T.teacher],-0.02627628109321481,0.553705706957938,-1.1152531757179354,1.0627006135315056,0.9621771766209157
Model B,C(Fjob)[T.health],0.3309482987705059,0.5848106427844116,-0.8192028911489306,1.4810994886899425,0.5718167149642652
Model B,C(Fjob)[T.other],-0.08358168693678425,0.45627602204576195,-0.9809429373904646,0.8137795635168961,0.8547601558609763
Model B,C(Fjob)[T.services],-0.322141538345204,0.5039249305376222,-1.313214231086159,0.6689311543957511,0.5230651995124155
Model B,C(Fjob)[T.teacher],-0.11236379582478234,0.5702785165483328,-1.233934551224584,1.0092069595750195,0.8439149601189604
Model B,C(reason)[T.home],-0.2091834647288837,0.3001775698590536,-0.7995447952216161,0.3811778657638487,0.4863454662050178
Model B,C(reason)[T.other],0.3075537026655299,0.3432982496282831,-0.367613370948737,0.9827207762797967,0.37092787844348485
Model B,C(reason)[T.reputation],0.12910635891808192,0.2681768227396095,-0.39831887793158754,0.6565315957677513,0.6305145364779666
Model B,C(guardian)[T.mother],0.1957407441620228,0.2822744330805563,-0.359410361750939,0.7508918500749846,0.4884886798239567
Model B,C(guardian)[T.other],0.006565203202768211,0.6514033825213617,-1.274554394685064,1.2876848010906001,0.9919643080794862
Model B,C(schoolsup)[T.yes],0.45644811141665637,0.33925035288061955,-0.21075793529353531,1.123654158126848,0.1793400210235592
Model B,C(famsup)[T.yes],0.17687011180197204,0.23334835938032983,-0.2820577420571688,0.6357979656611129,0.44897707195646946
Model B,C(paid)[T.yes],0.07576427863332878,0.2180498452205324,-0.35307588020522584,0.5046044374718834,0.7284504993947746
Model B,C(activities)[T.yes],-0.34604681994548425,0.2282869325252706,-0.7950203301348184,0.10292669024384998,0.1304543520698283
Model B,C(nursery)[T.yes],-0.22271566603341691,0.27152167119706616,-0.7567192397873657,0.3112879077205318,0.41262709370370676
Model B,C(higher)[T.yes],0.22592087305357506,0.7087363438034561,-1.16795586161659,1.6197976077237402,0.7500926781598227
Model B,C(internet)[T.yes],-0.14446248231829567,0.30085921728951753,-0.7361644135899756,0.44723944895338436,0.6314064923434505
Model B,C(romantic)[T.yes],-0.27200822808688424,0.24434271133069513,-0.7525587509827911,0.20854229480902264,0.2663696043708615
Model B,age,-0.17330196141657953,0.11315635456480691,-0.39584735701676965,0.049243434183610574,0.12653496771816233
Model B,Medu,0.12968509986930563,0.13402530545292604,-0.13390340770651402,0.3932736074451253,0.3338983914798801
Model B,Fedu,-0.13393977939883928,0.11860998504332484,-0.3672108682839251,0.09933130948624652,0.2595611241853198
Model B,traveltime,0.09699439972510297,0.15594699527503783,-0.2097076488661483,0.40369644831635426,0.534362896353209
Model B,studytime,-0.10475355293975613,0.16271869699210537,-0.4247735547587087,0.21526644887919644,0.5201420718986677
Model B,failures,-0.16053915416311826,0.22119893328692006,-0.5955726465728133,0.2744943382465767,0.4684617703136932
Model B,famrel,0.3568757622477078,0.14049845155937057,0.08055647285608225,0.6331950516393333,0.01151107783544186
Model B,freetime,0.0470015491099323,0.12318527380645797,-0.1952677922523789,0.28927089047224347,0.7030234866286843
Model B,goout,0.012006616621355964,0.13904057223725133,-0.26144545128963637,0.28545868453234824,0.931234503840011
Model B,Dalc,-0.18501947063907973,0.1415942631714323,-0.4634939004083488,0.09345495913018934,0.19216946978790328
Model B,Walc,0.17677203739939015,0.12777433435395658,-0.07452264150498014,0.4280667163037605,0.16739487521431265
Model B,health,0.06299500346685705,0.08500022826733859,-0.10417554120659761,0.2301655481403117,0.45911601336172697
Model B,absences,0.0458790796829607,0.018578631491139586,0.009340354917504887,0.08241780444841651,0.014004444703132656
Model B,G1,0.18884682150967103,0.05548618500623083,0.07972175257255784,0.2979718904467842,0.0007417242817314222
Model B,G2,0.9573299316193156,0.03843635334886915,0.8817368860996861,1.032922977138945,9.492454910308884e-80
